Link Tracking -URL Clicked,Sessions,Clicks,Package_Id,Package_Name
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/ef35ef7a-2f8f-4291-a32c-ee4c097a3e78/resource/b9101c62-0ce6-4e33-9463-16b32d353ca3/download/1985-2019 analysis of ridership.xlsx,19,19,ef35ef7a-2f8f-4291-a32c-ee4c097a3e78,ttc-ridership-analysis
"ckan0.cf.opendata.inter.prod-toronto.ca/dataset/52182614-1f0b-42be-aca4-3f86dc8e004c/resource/b0d8ba9e-3c62-4598-b089-f9241bee19e7/download/2022 income scenario - without subsidies, average rent.csv",19,22,52182614-1f0b-42be-aca4-3f86dc8e004c,cost-of-living-in-toronto-for-low-income-households
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/7e876c24-177c-4605-9cef-e50dd74c617f/resource/db10a7b1-2702-481c-b7f0-0c67070104bb/download/bikeshare-ridership-2022.zip,18,20,7e876c24-177c-4605-9cef-e50dd74c617f,bike-share-toronto-ridership-data
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/1acaa8b0-f235-4df6-8305-02025ccdeb07/resource/882ec6ce-3e20-409c-a5fd-c7c9018860b3/download/property boundaries (wgs84) - geojson.zip,18,22,1acaa8b0-f235-4df6-8305-02025ccdeb07,property-boundaries
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/5e7a8234-f805-43ac-820f-03d7c360b588/resource/b5e891be-b64d-4d4c-8c0c-632b5203d1d7/download/city wards data - 4326.zip,18,18,5e7a8234-f805-43ac-820f-03d7c360b588,city-wards
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/1d079757-377b-4564-82df-eb5638583bfb/resource/d86bdca4-ab2c-470d-80fb-34647ea0e87f/download/centreline - version 2 - 4326.zip,18,19,1d079757-377b-4564-82df-eb5638583bfb,toronto-centreline-tcl
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/64a26694-01dc-4ec3-aa87-ad8509604f50/resource/1e824947-d73b-4f48-9bac-7f7f3731a6b9/download/fire incidents data.csv,17,20,64a26694-01dc-4ec3-aa87-ad8509604f50,fire-incidents
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/26cbd79d-e548-4280-bc2c-a923bdfcadad/resource/92ad6273-e9ee-4d7a-af7e-5625a2dd4f07/download/tenant-notification-for-rent-reduction-2022.xlsx,17,20,26cbd79d-e548-4280-bc2c-a923bdfcadad,tenant-notification-for-rent-reduction
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/84f16008-8040-40ba-844d-c1d3863b80f6/resource/0263d2a5-8b35-408c-b57b-855d57a488e2/download/tree wgs84.zip,17,18,84f16008-8040-40ba-844d-c1d3863b80f6,topographic-mapping-physical-location-of-trees
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/3b471f62-dc01-4a96-bb76-f794e4c6b860/resource/92a6cb18-9b75-49ef-97d7-587f05c09454/download/neighbourhood-improvement-areas-wgs84.zip,16,18,3b471f62-dc01-4a96-bb76-f794e4c6b860,neighbourhood-improvement-areas
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/61642048-56bb-4050-b7c3-f569fcf94527/resource/69419e11-2dfa-4bcc-bed0-43a9dd2d0973/download/2018 tree canopy study geodatabase.zip,16,17,61642048-56bb-4050-b7c3-f569fcf94527,forest-and-land-cover
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/neighbourhoods/resource/db634f74-36c9-4caa-84be-256e304a89de/download/neighbourhoods - 4326.csv,15,17,neighbourhoods,neighbourhoods
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/e9488d7c-4542-4ed0-bae6-0d99d7671093/resource/7190fb96-e649-464a-bc2e-2c9976f3af47/download/wellbeing-toronto-environment.xlsx,15,21,e9488d7c-4542-4ed0-bae6-0d99d7671093,wellbeing-toronto-environment
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6e19a90f-971c-46b3-852c-0c48c436d1fc/resource/9d2474eb-46ed-4970-9a38-b635703ed5c6/download/neighbourhood-profiles-2011-140-model.csv,15,15,6e19a90f-971c-46b3-852c-0c48c436d1fc,neighbourhood-profiles
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/34927e44-fc11-4336-a8aa-a0dfb27658b7/resource/adf1a0d1-0069-4946-9f45-244ba12af24f/download/zoning area - 4326.zip,15,16,34927e44-fc11-4336-a8aa-a0dfb27658b7,zoning-by-law
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/26cbd79d-e548-4280-bc2c-a923bdfcadad/resource/3b1f8b1d-ddc8-4f82-b23b-e702970978ff/download/tenant notification for rent reduction 2022.csv,15,17,26cbd79d-e548-4280-bc2c-a923bdfcadad,tenant-notification-for-rent-reduction
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/resource/1f60c668-bb8e-4e1e-ac72-3c6558a03fea/download/raw-data-2010-2019.csv,14,14,traffic-volumes-at-intersections-for-all-modes,traffic-volumes-at-intersections-for-all-modes
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/b66466c3-69c8-4825-9c8b-04b270069193/resource/dba88efd-f692-4ce2-ae77-d0ec3f08bd21/download/green-p-parking-readme.xls,14,14,b66466c3-69c8-4825-9c8b-04b270069193,green-p-parking
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6ac4569e-fd37-4cbc-ac63-db3624c5f6a2/resource/05a63fed-64b9-469d-a470-558249fcba1a/download/street tree data - 4326.zip,14,15,6ac4569e-fd37-4cbc-ac63-db3624c5f6a2,street-tree-data
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/ac87ebfc-d67a-4a63-9528-5474ff33cb68/resource/d2ec1ab6-abaf-47b1-ace8-36c1696d3376/download/bike network data - 4326.zip,14,16,ac87ebfc-d67a-4a63-9528-5474ff33cb68,bikeways
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/8c233bc2-1879-44ff-a0e4-9b69a9032c54/resource/590e5f97-461b-4f72-b448-ef52bbfd1296/download/parking-tickets-2018.zip,13,15,8c233bc2-1879-44ff-a0e4-9b69a9032c54,parking-tickets
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/c21f3bd1-e016-4469-abf5-c58bb8e8b5ce/resource/98386d1f-a126-4bde-94c3-e37612d17669/download/paramedic-services-incident-data-2017-2021.xlsx,13,14,c21f3bd1-e016-4469-abf5-c58bb8e8b5ce,paramedic-services-incident-data
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/8c233bc2-1879-44ff-a0e4-9b69a9032c54/resource/91006b8a-f018-4627-9353-4dfdab71861d/download/parking-tickets-2019.zip,13,15,8c233bc2-1879-44ff-a0e4-9b69a9032c54,parking-tickets
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/ac87ebfc-d67a-4a63-9528-5474ff33cb68/resource/400c7f45-b55c-48c3-9404-a48146cecf00/download/bikeways-wgs84-latitude-longitude.zip,13,14,ac87ebfc-d67a-4a63-9528-5474ff33cb68,bikeways
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6e7fceb8-3049-43bf-a4ed-0c8bacccc41f/resource/28b907c6-e5b7-407a-979e-d2de67f0653e/download/cleared permits (2019 csv zip).zip,13,14,6e7fceb8-3049-43bf-a4ed-0c8bacccc41f,building-permits-cleared-permits-prior-years
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/21545630-0c50-4235-bcd4-276910a0643f/resource/4aae8208-610e-428a-8b2a-42f0d4efd6c7/download/edge of road - wgs84.zip,13,14,21545630-0c50-4235-bcd4-276910a0643f,topographic-mapping-edge-of-road
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/2c83f641-7808-49ba-b80f-7011851d4e27/resource/c2fc0db0-7dcd-4c13-a54c-f39debc441bd/download/intersection file (wgs84).zip,13,13,2c83f641-7808-49ba-b80f-7011851d4e27,intersection-file-city-of-toronto
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/resource/7f1243fb-8196-459b-adb8-d9331e1d4b65/download/locations.csv,13,13,traffic-volumes-at-intersections-for-all-modes,traffic-volumes-at-intersections-for-all-modes
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/8219e9e6-c7ad-4a36-a9d5-ddf2d86da3ae/resource/049217ce-11ec-4a2d-bb7c-41a9d0d58716/download/cleared permits readme.xls,13,13,8219e9e6-c7ad-4a36-a9d5-ddf2d86da3ae,building-permits-cleared-permits-current-year
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/ef5a083a-5c2a-4207-9131-dfc917917069/resource/4fa94937-0c7a-46a3-8440-c94684699075/download/environmentally significant areas - 4326.zip,12,13,ef5a083a-5c2a-4207-9131-dfc917917069,environmentally-significant-areas
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6e7fceb8-3049-43bf-a4ed-0c8bacccc41f/resource/de3f3793-42a2-4292-bb0d-aae8825c3cbf/download/cleared permits (2020 csv zip).zip,12,19,6e7fceb8-3049-43bf-a4ed-0c8bacccc41f,building-permits-cleared-permits-prior-years
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/e41da515-5ad1-4bc3-85ea-18ec9e55cd33/resource/647b0ba8-76da-4c76-bc1a-dd0d15f1cfed/download/heritage register data(2022).zip,12,12,e41da515-5ad1-4bc3-85ea-18ec9e55cd33,heritage-register
